socket名称,类型/状态,关联服务或进程,权限,对应的gitee源码仓库,定位源码证据片段
SP_daemon UDP 127.0.0.1:8283,SOCK_DGRAM / BOUND（开发板快照）,SP_daemon（SmartPerf）,回环地址绑定；网络端点不适用 DAC 文件权限,https://gitee.com/openharmony/developtools_profiler（revision: 19ee2d0950c35b6e5b87b4177540a97639bd1a7e）,host/smartperf/client/client_command/include/sp_server_socket.h:52-54：const int udpPort = 8283；host/smartperf/client/client_command/sp_server_socket.cpp:33-41、54-65：UDP 使用 SOCK_DGRAM，在 127.0.0.1:8283 绑定。
SP_daemon TCP 127.0.0.1:8284,SOCK_STREAM / LISTENING（开发板快照）,SP_daemon（SmartPerf）,回环地址绑定；网络端点不适用 DAC 文件权限,https://gitee.com/openharmony/developtools_profiler（revision: 19ee2d0950c35b6e5b87b4177540a97639bd1a7e）,host/smartperf/client/client_command/include/sp_server_socket.h:52-54：const int tcpPort = 8284；host/smartperf/client/client_command/sp_server_socket.cpp:33-41、54-65：TCP 使用 SOCK_STREAM，在 127.0.0.1:8284 bind 后 listen。
SP_daemon UDP 127.0.0.1:8285,SOCK_DGRAM / BOUND（开发板快照）,SP_daemon（SmartPerf）,回环地址绑定；网络端点不适用 DAC 文件权限,https://gitee.com/openharmony/developtools_profiler（revision: 19ee2d0950c35b6e5b87b4177540a97639bd1a7e）,host/smartperf/client/client_command/include/sp_server_socket.h:52-54：const int udpExPort = 8285；host/smartperf/client/client_command/sp_server_socket.cpp:33-41、54-65：UDPEX 使用 SOCK_DGRAM，在 127.0.0.1:8285 绑定。
/dev/unix/socket/paramservice,AF_UNIX SOCK_STREAM / LISTENING（开发板快照）,init（参数服务）,0666（属主 root，属组 root）,https://gitee.com/openharmony/startup_init,services/param/include/param_utils.h:79-80：CLIENT_PIPE_NAME/PIPE_NAME 定义目标路径；services/param/linux/param_service.c:422-445：设置 info.server = PIPE_NAME 并调用 ParamServerCreate；services/param/linux/param_request.c:134-136：创建 AF_UNIX SOCK_STREAM 并连接 CLIENT_PIPE_NAME。
/dev/unix/socket/fd_holder,AF_UNIX SOCK_DGRAM / BOUND（开发板快照）,init（fd holder 服务）,0660（属主 root，属组 root）,https://gitee.com/openharmony/startup_init,interfaces/innerkits/fd_holder/fd_holder_internal.h:29：INIT_HOLDER_SOCKET_PATH 定义目标路径；services/init/standard/init.c:193、221-227：创建 AF_UNIX SOCK_DGRAM，绑定后设置 root:root 和 0660；services/init/standard/fd_holder_service.c:166-169：注册 fd holder 事件处理。
/dev/unix/socket/init_control_fd,AF_UNIX SOCK_STREAM / LISTENING（开发板快照）,init（控制 FD 服务）,0660（属主 root，属组 root）,https://gitee.com/openharmony/startup_init,"interfaces/innerkits/control_fd/control_fd.h:32：INIT_CONTROL_FD_SOCKET_PATH 定义目标路径；services/init/standard/init_control_fd_service.c:291-293：InitControlFd 调用 CmdServiceInit(INIT_CONTROL_FD_SOCKET_PATH, ProcessControlFd, ...)。"
/dev/unix/socket/AppSpawn,AF_LOCAL SOCK_STREAM / LISTENING（开发板快照）,appspawn（AppSpawn 服务）,0660（属主 root，属组 appspawn）,https://gitee.com/openharmony/startup_appspawn,appspawn.cfg:35-49：服务 appspawn 配置 AppSpawn、AF_LOCAL、SOCK_STREAM、0660；standard/appspawn_service.c:1752-1769：按 socket 名称构造路径并创建服务端 socket。
/dev/unix/socket/CJAppSpawn,AF_LOCAL SOCK_STREAM / LISTENING（开发板快照）,cjappspawn（CJAppSpawn 服务）,0660（属主 root，属组 appspawn）,https://gitee.com/openharmony/startup_appspawn,cjappspawn.cfg:2-22：服务 cjappspawn 配置 CJAppSpawn、AF_LOCAL、SOCK_STREAM、0660；modules/module_engine/include/appspawn_msg.h:29-35：声明 CJAPPSPAWN_SOCKET_NAME。
/dev/unix/socket/NativeSpawn,AF_LOCAL SOCK_STREAM / LISTENING（开发板快照）,nativespawn（NativeSpawn 服务）,0660（属主 root，属组 appspawn）,https://gitee.com/openharmony/startup_appspawn,nativespawn.cfg:2-22：服务 nativespawn 配置 NativeSpawn、AF_LOCAL、SOCK_STREAM、0660；modules/module_engine/include/appspawn_msg.h:29-35：声明 NATIVESPAWN_SOCKET_NAME。
/dev/unix/socket/HybridSpawn,AF_LOCAL SOCK_STREAM / LISTENING（开发板快照）,hybridspawn（HybridSpawn 服务）,0660（属主 root，属组 appspawn）,https://gitee.com/openharmony/startup_appspawn,hybridspawn.cfg:19-37：服务 hybridspawn 配置 HybridSpawn、AF_LOCAL、SOCK_STREAM、0660；modules/module_engine/include/appspawn_msg.h:29-35：声明 HYBRIDSPAWN_SOCKET_NAME。
/dev/unix/socket/NWebSpawn,AF_LOCAL SOCK_STREAM / LISTENING（开发板快照）,nwebspawn（NWebSpawn 服务）,0666（属主 nwebspawn，属组 nwebspawn）,https://gitee.com/openharmony/startup_appspawn,nwebspawn.cfg:20-38：服务 nwebspawn 配置 NWebSpawn、AF_LOCAL、SOCK_STREAM、0666；modules/module_engine/include/appspawn_msg.h:29-35：声明 NWEBSPAWN_SOCKET_NAME。
/dev/unix/socket/faultloggerd.server,AF_UNIX SOCK_STREAM / LISTENING（开发板快照）,faultloggerd,0666（属主 faultloggerd，属组 system）,https://gitee.com/openharmony/hiviewdfx_faultloggerd,services/config/faultloggerd.cfg:32-47：服务 faultloggerd 配置 faultloggerd.server、AF_UNIX、SOCK_STREAM、0666、faultloggerd:system；interfaces/common/dfx_socket_request.h:33-35：声明对应 socket 名称。
/dev/unix/socket/faultloggerd.crash.server,AF_UNIX SOCK_STREAM / LISTENING（开发板快照）,faultloggerd,0666（属主 faultloggerd，属组 system）,https://gitee.com/openharmony/hiviewdfx_faultloggerd,services/config/faultloggerd.cfg:43-56：服务 faultloggerd 配置 faultloggerd.crash.server、AF_UNIX、SOCK_STREAM、0666、faultloggerd:system；interfaces/common/dfx_socket_request.h:33-35：声明 faultloggerd socket 常量。
